section,question_number,main_question,full_question,sub_question,option_1,option_2,option_3,option_4,correct_option,feedback_1,feedback_2,feedback_3,feedback_4,min_value,max_value,solution,image_url,units,Unnamed: 19
Static Equilibrium,9,Static Equilibrium 9,Calculate the moment of force required by the muscle ($F_M$) about the elbow joint to ensure static equilibrium. Given: the muscle inserts 0.07 m from the elbow axis and acts at 47 above horizontal. The forearm is 37 above horizontal and a 100 N weight acts 0.28 m from the elbow.,Which free body diagram is correct?,Diagram A,Diagram B,Diagram C,Diagram D,1,"$Correct A shows W = 100 N at 0.28 m, the forearm at 37 , the muscle at 47 , and reactions at the elbow.$",B uses an incorrect distance/angle pairing.,C flips signs/locations for the reactions.,"D has wrong geometry (e.g., 57 and 0.7 m).",22.2,22.6,"1. **First step in any static equilibrium question** Draw the free body diagram (FBD) about the elbow. 2. **Correct free body diagram** The correct diagram is **A**: * muscle force $F_M$ acts $0.07,\text{m}$ from the elbow, pulling up-and-left at $47^\circ$ above the horizontal, * the rope/weight force is $100,\text{N}$, acting at the hand, $0.28,\text{m}$ from the elbow, directed up-and-right at $37^\circ$ above the horizontal, * elbow has reactions $R_x, R_y$. 3. **Equations that apply** For a rigid body in the plane: $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M_{\text{elbow}} = 0 $ We ll use the moment equation first so the unknown reactions drop out. 4. **Next step: write the moment equation about the elbow** * The muscle attaches $0.07,\text{m}$ *vertically* from the elbow. * Its line of action is $47^\circ$ above the horizontal, so it is $43^\circ$ from the vertical. * The moment of the muscle is therefore $ M_M = F_M (0.07)\sin 43^\circ $ * The weight force of $100,\text{N}$ acts $0.28,\text{m}$ *vertically* from the elbow, and the force is $37^\circ$ above the horizontal, i.e. $53^\circ$ from the vertical. Since $\sin 53^\circ = \cos 37^\circ$, its moment magnitude is $ M_W = 100(0.28)\cos 37^\circ $ Take counter-clockwise $+$ and set sum of moments to zero: $ F_M(0.07)\sin 43^\circ - 100(0.28)\cos 37^\circ = 0 $ 5. **Correct table** That s exactly what table **A** shows: $F_M(0.07)\sin 43^\circ$ for the muscle and $-100(0.28)\cos 37^\circ$ for the weight. 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **But we really want the *moment* made by the muscle** From the moment equation above, the muscle moment must balance the weight moment. So the muscle moment is just the weight moment: $ M_M = 100(0.28)\cos 37^\circ $ Now compute: $ \cos 37^\circ \approx 0.7986 $ $ 0.28 \times 0.7986 \approx 0.2236 $ $ M_M = 100 \times 0.2236 \approx 22.36 ,\text{N m} $ 8. **Final answer** $ \boxed{M_M \approx 2.24 \times 10^{1} \text{N m}} $",Images/SE_9a.png,N.m,
Static Equilibrium,9,Static Equilibrium 9,Calculate the moment of force required by the muscle ($F_M$) about the elbow joint to ensure static equilibrium. Given: the muscle inserts 0.07 m from the elbow axis and acts at 47 above horizontal. The forearm is 37 above horizontal and a 100 N weight acts 0.28 m from the elbow.,Which equations are correct?,"$F=ma, M=Fd$","$F=Ma, D=Iw$","$A=Ft, P=mv$","$F=ma^2, P=\tfrac12 mv$",1,$Correct: in statics we use the moment relation M = F d_ along with force equilibrium.$,"This mixes in rotational inertia, which we don t need here.","These are impulse/momentum relations, not static equilibrium equations.",This has the wrong force law and the wrong momentum expression.,22.2,22.6,"1. **First step in any static equilibrium question** Draw the free body diagram (FBD) about the elbow. 2. **Correct free body diagram** The correct diagram is **A**: * muscle force $F_M$ acts $0.07,\text{m}$ from the elbow, pulling up-and-left at $47^\circ$ above the horizontal, * the rope/weight force is $100,\text{N}$, acting at the hand, $0.28,\text{m}$ from the elbow, directed up-and-right at $37^\circ$ above the horizontal, * elbow has reactions $R_x, R_y$. 3. **Equations that apply** For a rigid body in the plane: $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M_{\text{elbow}} = 0 $ We ll use the moment equation first so the unknown reactions drop out. 4. **Next step: write the moment equation about the elbow** * The muscle attaches $0.07,\text{m}$ *vertically* from the elbow. * Its line of action is $47^\circ$ above the horizontal, so it is $43^\circ$ from the vertical. * The moment of the muscle is therefore $ M_M = F_M (0.07)\sin 43^\circ $ * The weight force of $100,\text{N}$ acts $0.28,\text{m}$ *vertically* from the elbow, and the force is $37^\circ$ above the horizontal, i.e. $53^\circ$ from the vertical. Since $\sin 53^\circ = \cos 37^\circ$, its moment magnitude is $ M_W = 100(0.28)\cos 37^\circ $ Take counter-clockwise $+$ and set sum of moments to zero: $ F_M(0.07)\sin 43^\circ - 100(0.28)\cos 37^\circ = 0 $ 5. **Correct table** That s exactly what table **A** shows: $F_M(0.07)\sin 43^\circ$ for the muscle and $-100(0.28)\cos 37^\circ$ for the weight. 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **But we really want the *moment* made by the muscle** From the moment equation above, the muscle moment must balance the weight moment. So the muscle moment is just the weight moment: $ M_M = 100(0.28)\cos 37^\circ $ Now compute: $ \cos 37^\circ \approx 0.7986 $ $ 0.28 \times 0.7986 \approx 0.2236 $ $ M_M = 100 \times 0.2236 \approx 22.36 ,\text{N m} $ 8. **Final answer** $ \boxed{M_M \approx 2.24 \times 10^{1} \text{N m}} $",Images/SE_9.png,N.m,
Static Equilibrium,9,Static Equilibrium 9,Calculate the moment of force required by the muscle ($F_M$) about the elbow joint to ensure static equilibrium. Given: the muscle inserts 0.07 m from the elbow axis and acts at 47 above horizontal. The forearm is 37 above horizontal and a 100 N weight acts 0.28 m from the elbow.,What is the next step?,Draw another free body diagram,Use the equations to find the resultant force,Use the Pythagorean theorem,Draw a force table,2,You already have a diagram no need to redraw it.,$Correct now apply M = 0 (and F = 0) about the elbow.$,We aren t solving a right triangle here.,The table comes after you know which equations you re using.,22.2,22.6,"1. **First step in any static equilibrium question** Draw the free body diagram (FBD) about the elbow. 2. **Correct free body diagram** The correct diagram is **A**: * muscle force $F_M$ acts $0.07,\text{m}$ from the elbow, pulling up-and-left at $47^\circ$ above the horizontal, * the rope/weight force is $100,\text{N}$, acting at the hand, $0.28,\text{m}$ from the elbow, directed up-and-right at $37^\circ$ above the horizontal, * elbow has reactions $R_x, R_y$. 3. **Equations that apply** For a rigid body in the plane: $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M_{\text{elbow}} = 0 $ We ll use the moment equation first so the unknown reactions drop out. 4. **Next step: write the moment equation about the elbow** * The muscle attaches $0.07,\text{m}$ *vertically* from the elbow. * Its line of action is $47^\circ$ above the horizontal, so it is $43^\circ$ from the vertical. * The moment of the muscle is therefore $ M_M = F_M (0.07)\sin 43^\circ $ * The weight force of $100,\text{N}$ acts $0.28,\text{m}$ *vertically* from the elbow, and the force is $37^\circ$ above the horizontal, i.e. $53^\circ$ from the vertical. Since $\sin 53^\circ = \cos 37^\circ$, its moment magnitude is $ M_W = 100(0.28)\cos 37^\circ $ Take counter-clockwise $+$ and set sum of moments to zero: $ F_M(0.07)\sin 43^\circ - 100(0.28)\cos 37^\circ = 0 $ 5. **Correct table** That s exactly what table **A** shows: $F_M(0.07)\sin 43^\circ$ for the muscle and $-100(0.28)\cos 37^\circ$ for the weight. 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **But we really want the *moment* made by the muscle** From the moment equation above, the muscle moment must balance the weight moment. So the muscle moment is just the weight moment: $ M_M = 100(0.28)\cos 37^\circ $ Now compute: $ \cos 37^\circ \approx 0.7986 $ $ 0.28 \times 0.7986 \approx 0.2236 $ $ M_M = 100 \times 0.2236 \approx 22.36 ,\text{N m} $ 8. **Final answer** $ \boxed{M_M \approx 2.24 \times 10^{1} \text{N m}} $",Images/SE_9.png,N.m,
Static Equilibrium,9,Static Equilibrium 9,Calculate the moment of force required by the muscle ($F_M$) about the elbow joint to ensure static equilibrium. Given: the muscle inserts 0.07 m from the elbow axis and acts at 47 above horizontal. The forearm is 37 above horizontal and a 100 N weight acts 0.28 m from the elbow.,Which table is correct?,Table A,Table B,Table C,Table D,1,"Correct FM has components ( FM cos47 , FM sin47 ) and moment FM(0.07)sin43 ; W contributes 100(0.28)cos37 about the elbow.",This uses cos43 for the muscle moment arm and flips W s component signs.,This uses the wrong trig for components.,This sets W s moment incorrectly.,22.2,22.6,"1. **First step in any static equilibrium question** Draw the free body diagram (FBD) about the elbow. 2. **Correct free body diagram** The correct diagram is **A**: * muscle force $F_M$ acts $0.07,\text{m}$ from the elbow, pulling up-and-left at $47^\circ$ above the horizontal, * the rope/weight force is $100,\text{N}$, acting at the hand, $0.28,\text{m}$ from the elbow, directed up-and-right at $37^\circ$ above the horizontal, * elbow has reactions $R_x, R_y$. 3. **Equations that apply** For a rigid body in the plane: $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M_{\text{elbow}} = 0 $ We ll use the moment equation first so the unknown reactions drop out. 4. **Next step: write the moment equation about the elbow** * The muscle attaches $0.07,\text{m}$ *vertically* from the elbow. * Its line of action is $47^\circ$ above the horizontal, so it is $43^\circ$ from the vertical. * The moment of the muscle is therefore $ M_M = F_M (0.07)\sin 43^\circ $ * The weight force of $100,\text{N}$ acts $0.28,\text{m}$ *vertically* from the elbow, and the force is $37^\circ$ above the horizontal, i.e. $53^\circ$ from the vertical. Since $\sin 53^\circ = \cos 37^\circ$, its moment magnitude is $ M_W = 100(0.28)\cos 37^\circ $ Take counter-clockwise $+$ and set sum of moments to zero: $ F_M(0.07)\sin 43^\circ - 100(0.28)\cos 37^\circ = 0 $ 5. **Correct table** That s exactly what table **A** shows: $F_M(0.07)\sin 43^\circ$ for the muscle and $-100(0.28)\cos 37^\circ$ for the weight. 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **But we really want the *moment* made by the muscle** From the moment equation above, the muscle moment must balance the weight moment. So the muscle moment is just the weight moment: $ M_M = 100(0.28)\cos 37^\circ $ Now compute: $ \cos 37^\circ \approx 0.7986 $ $ 0.28 \times 0.7986 \approx 0.2236 $ $ M_M = 100 \times 0.2236 \approx 22.36 ,\text{N m} $ 8. **Final answer** $ \boxed{M_M \approx 2.24 \times 10^{1} \text{N m}} $",Images/SE_9b.png,N.m,
Static Equilibrium,9,Static Equilibrium 9,Calculate the moment of force required by the muscle ($F_M$) about the elbow joint to ensure static equilibrium. Given: the muscle inserts 0.07 m from the elbow axis and acts at 47 above horizontal. The forearm is 37 above horizontal and a 100 N weight acts 0.28 m from the elbow.,What 3 conditions must be met for a body to be in a state of static equilibrium?,"$\sum F_x = 1, \sum F_y = 1, \sum M = 0$","$\sum F_x = 1, \sum F_y = 1, \sum M = 1$","$\sum F_x = 0, \sum F_y = 0, \sum M = 0$","$\sum F_x = 1, \sum F_y = 0, \sum M = -1$",3,"For equilibrium the force sums must be zero, not 1.",All three sums must be zero in equilibrium.,Correct no net force in x or y and no net moment.,"This leaves non-zero net force/moment, so the arm would move.",22.2,22.6,"1. **First step in any static equilibrium question** Draw the free body diagram (FBD) about the elbow. 2. **Correct free body diagram** The correct diagram is **A**: * muscle force $F_M$ acts $0.07,\text{m}$ from the elbow, pulling up-and-left at $47^\circ$ above the horizontal, * the rope/weight force is $100,\text{N}$, acting at the hand, $0.28,\text{m}$ from the elbow, directed up-and-right at $37^\circ$ above the horizontal, * elbow has reactions $R_x, R_y$. 3. **Equations that apply** For a rigid body in the plane: $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M_{\text{elbow}} = 0 $ We ll use the moment equation first so the unknown reactions drop out. 4. **Next step: write the moment equation about the elbow** * The muscle attaches $0.07,\text{m}$ *vertically* from the elbow. * Its line of action is $47^\circ$ above the horizontal, so it is $43^\circ$ from the vertical. * The moment of the muscle is therefore $ M_M = F_M (0.07)\sin 43^\circ $ * The weight force of $100,\text{N}$ acts $0.28,\text{m}$ *vertically* from the elbow, and the force is $37^\circ$ above the horizontal, i.e. $53^\circ$ from the vertical. Since $\sin 53^\circ = \cos 37^\circ$, its moment magnitude is $ M_W = 100(0.28)\cos 37^\circ $ Take counter-clockwise $+$ and set sum of moments to zero: $ F_M(0.07)\sin 43^\circ - 100(0.28)\cos 37^\circ = 0 $ 5. **Correct table** That s exactly what table **A** shows: $F_M(0.07)\sin 43^\circ$ for the muscle and $-100(0.28)\cos 37^\circ$ for the weight. 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **But we really want the *moment* made by the muscle** From the moment equation above, the muscle moment must balance the weight moment. So the muscle moment is just the weight moment: $ M_M = 100(0.28)\cos 37^\circ $ Now compute: $ \cos 37^\circ \approx 0.7986 $ $ 0.28 \times 0.7986 \approx 0.2236 $ $ M_M = 100 \times 0.2236 \approx 22.36 ,\text{N m} $ 8. **Final answer** $ \boxed{M_M \approx 2.24 \times 10^{1} \text{N m}} $",Images/SE_9.png,N.m,
Static Equilibrium,9,Static Equilibrium 9,Calculate the moment of force required by the muscle ($F_M$) about the elbow joint to ensure static equilibrium. Given: the muscle inserts 0.07 m from the elbow axis and acts at 47 above horizontal. The forearm is 37 above horizontal and a 100 N weight acts 0.28 m from the elbow.,What is the value of $M_M$?,,,,,,,,,,22.2,22.6,"1. **First step in any static equilibrium question** Draw the free body diagram (FBD) about the elbow. 2. **Correct free body diagram** The correct diagram is **A**: * muscle force $F_M$ acts $0.07,\text{m}$ from the elbow, pulling up-and-left at $47^\circ$ above the horizontal, * the rope/weight force is $100,\text{N}$, acting at the hand, $0.28,\text{m}$ from the elbow, directed up-and-right at $37^\circ$ above the horizontal, * elbow has reactions $R_x, R_y$. 3. **Equations that apply** For a rigid body in the plane: $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M_{\text{elbow}} = 0 $ We ll use the moment equation first so the unknown reactions drop out. 4. **Next step: write the moment equation about the elbow** * The muscle attaches $0.07,\text{m}$ *vertically* from the elbow. * Its line of action is $47^\circ$ above the horizontal, so it is $43^\circ$ from the vertical. * The moment of the muscle is therefore $ M_M = F_M (0.07)\sin 43^\circ $ * The weight force of $100,\text{N}$ acts $0.28,\text{m}$ *vertically* from the elbow, and the force is $37^\circ$ above the horizontal, i.e. $53^\circ$ from the vertical. Since $\sin 53^\circ = \cos 37^\circ$, its moment magnitude is $ M_W = 100(0.28)\cos 37^\circ $ Take counter-clockwise $+$ and set sum of moments to zero: $ F_M(0.07)\sin 43^\circ - 100(0.28)\cos 37^\circ = 0 $ 5. **Correct table** That s exactly what table **A** shows: $F_M(0.07)\sin 43^\circ$ for the muscle and $-100(0.28)\cos 37^\circ$ for the weight. 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **But we really want the *moment* made by the muscle** From the moment equation above, the muscle moment must balance the weight moment. So the muscle moment is just the weight moment: $ M_M = 100(0.28)\cos 37^\circ $ Now compute: $ \cos 37^\circ \approx 0.7986 $ $ 0.28 \times 0.7986 \approx 0.2236 $ $ M_M = 100 \times 0.2236 \approx 22.36 ,\text{N m} $ 8. **Final answer** $ \boxed{M_M \approx 2.24 \times 10^{1} \text{N m}} $",Images/SE_9.png,N.m,
Static Equilibrium,10,Static Equilibrium 10,What would the resultant joint reaction force be if $F_W = 487 \text{N}$ and $F_M = 1502 \text{N}$? $F_M$ inserts $0.09 \text{m}$ from the hip axis and $F_W$ acts $0.24 \text{m}$ from the hip axis.,What is the first step in any static equilibrium question?,Draw a force table,Draw a free body diagram,Use vector addition to find the resultant force,Use the Pythagorean theorem,2,Not quite start by sketching the situation so you can see where each force acts.,Correct always begin with a free body diagram in statics.,"Vector addition comes later, once you know the forces on the body.",The Pythagorean theorem isn t the first move here.,1369,1370,"1. **First step in any static-equilibrium question** Draw the free body diagram (FBD) of the trunk/hip segment. 2. **Which FBD is correct?** Diagram **A** is the one that matches the problem: * weight $F_W = 487 \text{N}$ acting straight down, $0.24 \text{m}$ from the hip, along a line that is $26^\circ$ above horizontal * abdominal/muscle force $F_M = 1502 \text{N}$ acting $0.09 \text{m}$ from the hip at $51^\circ$ to that dashed line * hip joint reactions $R_x$ and $R_y$ at the hip. 3. **Equations that govern static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ (The moment equation was already used earlier to get $F_M = 1502 \text{N}$.) 4. **Next step** Use the force-equilibrium equations to solve for the unknown joint reactions $R_x$ and $R_y$. 5. **Which table is correct?** Table **A** is consistent with this setup. It uses: * $F_W$ downward: $F_y = -487$ * $F_M$ resolved into components using the $25^\circ$ difference between the trunk line ($26^\circ$) and the muscle line ($51^\circ$): $ F_{Mx} = 1502 \cos 25^\circ, \qquad F_{My} = 1502 \sin 25^\circ $ 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **Solve for $R_x$ and $R_y$** **Horizontal forces:** $\sum F_x = 0 ;\Rightarrow; R_x + 1502 \cos 25^\circ = 0 $ $ R_x = -1502 \cos 25^\circ $ $ \cos 25^\circ \approx 0.9063 $ $ R_x = -1502(0.9063) \approx -1362 \text{N} $ (Negative means the joint reaction on the trunk points to the **left** with magnitude $1362 \text{N}$.) **Vertical forces:** $ \sum F_y = 0 ;\Rightarrow; R_y + 1502 \sin 25^\circ - 487 = 0 $ $ R_y = 487 - 1502 \sin 25^\circ $ $ \sin 25^\circ \approx 0.4226 $ $ R_y = 487 - 1502(0.4226) $ $ R_y = 487 - 635 \approx -148 \text{N} $ (Negative means the joint reaction on the trunk points **downward** by about $148 \text{N}$.) So we have $ R_x \approx -1.36 \times 10^3 \text{N}, \qquad R_y \approx -1.48 \times 10^2 \text{N}. $ 8. **Next step** Find the magnitude of the resultant joint reaction force: $ R = \sqrt{R_x^2 + R_y^2} $ 9. **Resultant hip joint reaction force** $ R = \sqrt{(-1362)^2 + (-148)^2} $ $ R = \sqrt{1.855 \times 10^6 + 2.19 \times 10^4} $ $ R = \sqrt{1.877 \times 10^6} \approx 1.37 \times 10^3 \text{N} $ So the hip joint is experiencing a reaction force of about $ \boxed{R \approx 1.37 \times 10^3 \text{N}} $ directed mostly horizontally toward the hip (about $6^\circ$ below the negative $x$-axis).",Images/SE_10.png,N,
Static Equilibrium,10,Static Equilibrium 10,What would the resultant joint reaction force be if $F_W = 487 \text{N}$ and $F_M = 1502 \text{N}$? $F_M$ inserts $0.09 \text{m}$ from the hip axis and $F_W$ acts $0.24 \text{m}$ from the hip axis.,Which free body diagram is correct?,Diagram A,Diagram B,Diagram C,Diagram D,2,"Almost, but the force directions/distances don t all match the statement.","Correct this diagram shows $F_W = 487 \text{N}$ at $0.24 \text{m}$, $F_M = 1502 \text{N}$ at $0.09 \text{m}$ with the given angles, plus the hip reactions $R_x$ and $R_y$.",This one uses the wrong magnitudes/angles.,"This places the forces at the wrong locations, so the moments would be wrong.",1369,1370,"1. **First step in any static-equilibrium question** Draw the free body diagram (FBD) of the trunk/hip segment. 2. **Which FBD is correct?** Diagram **A** is the one that matches the problem: * weight $F_W = 487 \text{N}$ acting straight down, $0.24 \text{m}$ from the hip, along a line that is $26^\circ$ above horizontal * abdominal/muscle force $F_M = 1502 \text{N}$ acting $0.09 \text{m}$ from the hip at $51^\circ$ to that dashed line * hip joint reactions $R_x$ and $R_y$ at the hip. 3. **Equations that govern static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ (The moment equation was already used earlier to get $F_M = 1502 \text{N}$.) 4. **Next step** Use the force-equilibrium equations to solve for the unknown joint reactions $R_x$ and $R_y$. 5. **Which table is correct?** Table **A** is consistent with this setup. It uses: * $F_W$ downward: $F_y = -487$ * $F_M$ resolved into components using the $25^\circ$ difference between the trunk line ($26^\circ$) and the muscle line ($51^\circ$): $ F_{Mx} = 1502 \cos 25^\circ, \qquad F_{My} = 1502 \sin 25^\circ $ 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **Solve for $R_x$ and $R_y$** **Horizontal forces:** $\sum F_x = 0 ;\Rightarrow; R_x + 1502 \cos 25^\circ = 0 $ $ R_x = -1502 \cos 25^\circ $ $ \cos 25^\circ \approx 0.9063 $ $ R_x = -1502(0.9063) \approx -1362 \text{N} $ (Negative means the joint reaction on the trunk points to the **left** with magnitude $1362 \text{N}$.) **Vertical forces:** $ \sum F_y = 0 ;\Rightarrow; R_y + 1502 \sin 25^\circ - 487 = 0 $ $ R_y = 487 - 1502 \sin 25^\circ $ $ \sin 25^\circ \approx 0.4226 $ $ R_y = 487 - 1502(0.4226) $ $ R_y = 487 - 635 \approx -148 \text{N} $ (Negative means the joint reaction on the trunk points **downward** by about $148 \text{N}$.) So we have $ R_x \approx -1.36 \times 10^3 \text{N}, \qquad R_y \approx -1.48 \times 10^2 \text{N}. $ 8. **Next step** Find the magnitude of the resultant joint reaction force: $ R = \sqrt{R_x^2 + R_y^2} $ 9. **Resultant hip joint reaction force** $ R = \sqrt{(-1362)^2 + (-148)^2} $ $ R = \sqrt{1.855 \times 10^6 + 2.19 \times 10^4} $ $ R = \sqrt{1.877 \times 10^6} \approx 1.37 \times 10^3 \text{N} $ So the hip joint is experiencing a reaction force of about $ \boxed{R \approx 1.37 \times 10^3 \text{N}} $ directed mostly horizontally toward the hip (about $6^\circ$ below the negative $x$-axis).",Images/SE_10a.png,N,
Static Equilibrium,10,Static Equilibrium 10,What would the resultant joint reaction force be if $F_W = 487 \text{N}$ and $F_M = 1502 \text{N}$? $F_M$ inserts $0.09 \text{m}$ from the hip axis and $F_W$ acts $0.24 \text{m}$ from the hip axis.,Which equations are correct?,"$F = ma, M = Fd$","$F = Ma, D = Iw$","$A = Ft, P = mv$","$F = ma^2, P = \tfrac12 mv$",1,Correct: in statics we use force equilibrium and the moment relation $M = Fd$ (with the perpendicular distance).,This brings in rotational inertia we don t need here.,"These are impulse/momentum relations, not static equilibrium equations.",This has the wrong force law and the wrong momentum expression.,1369,1370,"1. **First step in any static-equilibrium question** Draw the free body diagram (FBD) of the trunk/hip segment. 2. **Which FBD is correct?** Diagram **A** is the one that matches the problem: * weight $F_W = 487 \text{N}$ acting straight down, $0.24 \text{m}$ from the hip, along a line that is $26^\circ$ above horizontal * abdominal/muscle force $F_M = 1502 \text{N}$ acting $0.09 \text{m}$ from the hip at $51^\circ$ to that dashed line * hip joint reactions $R_x$ and $R_y$ at the hip. 3. **Equations that govern static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ (The moment equation was already used earlier to get $F_M = 1502 \text{N}$.) 4. **Next step** Use the force-equilibrium equations to solve for the unknown joint reactions $R_x$ and $R_y$. 5. **Which table is correct?** Table **A** is consistent with this setup. It uses: * $F_W$ downward: $F_y = -487$ * $F_M$ resolved into components using the $25^\circ$ difference between the trunk line ($26^\circ$) and the muscle line ($51^\circ$): $ F_{Mx} = 1502 \cos 25^\circ, \qquad F_{My} = 1502 \sin 25^\circ $ 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **Solve for $R_x$ and $R_y$** **Horizontal forces:** $\sum F_x = 0 ;\Rightarrow; R_x + 1502 \cos 25^\circ = 0 $ $ R_x = -1502 \cos 25^\circ $ $ \cos 25^\circ \approx 0.9063 $ $ R_x = -1502(0.9063) \approx -1362 \text{N} $ (Negative means the joint reaction on the trunk points to the **left** with magnitude $1362 \text{N}$.) **Vertical forces:** $ \sum F_y = 0 ;\Rightarrow; R_y + 1502 \sin 25^\circ - 487 = 0 $ $ R_y = 487 - 1502 \sin 25^\circ $ $ \sin 25^\circ \approx 0.4226 $ $ R_y = 487 - 1502(0.4226) $ $ R_y = 487 - 635 \approx -148 \text{N} $ (Negative means the joint reaction on the trunk points **downward** by about $148 \text{N}$.) So we have $ R_x \approx -1.36 \times 10^3 \text{N}, \qquad R_y \approx -1.48 \times 10^2 \text{N}. $ 8. **Next step** Find the magnitude of the resultant joint reaction force: $ R = \sqrt{R_x^2 + R_y^2} $ 9. **Resultant hip joint reaction force** $ R = \sqrt{(-1362)^2 + (-148)^2} $ $ R = \sqrt{1.855 \times 10^6 + 2.19 \times 10^4} $ $ R = \sqrt{1.877 \times 10^6} \approx 1.37 \times 10^3 \text{N} $ So the hip joint is experiencing a reaction force of about $ \boxed{R \approx 1.37 \times 10^3 \text{N}} $ directed mostly horizontally toward the hip (about $6^\circ$ below the negative $x$-axis).",Images/SE_10.png,N,
Static Equilibrium,10,Static Equilibrium 10,What would the resultant joint reaction force be if $F_W = 487 \text{N}$ and $F_M = 1502 \text{N}$? $F_M$ inserts $0.09 \text{m}$ from the hip axis and $F_W$ acts $0.24 \text{m}$ from the hip axis.,What is the next step?,Draw another free body diagram,Use the equations to find the resultant force,Use the Pythagorean theorem,Draw a force table,4,You already have a good diagram.,We ll use the equations right after we organize the forces.,We re not solving a right triangle yet.,"Correct list each force with its $F_x$, $F_y$, and moment so you can apply $\sum F = 0$ and $\sum M = 0$.",1369,1370,"1. **First step in any static-equilibrium question** Draw the free body diagram (FBD) of the trunk/hip segment. 2. **Which FBD is correct?** Diagram **A** is the one that matches the problem: * weight $F_W = 487 \text{N}$ acting straight down, $0.24 \text{m}$ from the hip, along a line that is $26^\circ$ above horizontal * abdominal/muscle force $F_M = 1502 \text{N}$ acting $0.09 \text{m}$ from the hip at $51^\circ$ to that dashed line * hip joint reactions $R_x$ and $R_y$ at the hip. 3. **Equations that govern static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ (The moment equation was already used earlier to get $F_M = 1502 \text{N}$.) 4. **Next step** Use the force-equilibrium equations to solve for the unknown joint reactions $R_x$ and $R_y$. 5. **Which table is correct?** Table **A** is consistent with this setup. It uses: * $F_W$ downward: $F_y = -487$ * $F_M$ resolved into components using the $25^\circ$ difference between the trunk line ($26^\circ$) and the muscle line ($51^\circ$): $ F_{Mx} = 1502 \cos 25^\circ, \qquad F_{My} = 1502 \sin 25^\circ $ 6. **Three conditions for static equilibrium** $ \sum F_x = 0, \qquad \sum F_y = 0, \qquad \sum M = 0 $ 7. **Solve for $R_x$ and $R_y$** **Horizontal forces:** $\sum F_x = 0 ;\Rightarrow; R_x + 1502 \cos 25^\circ = 0 $ $ R_x = -1502 \cos 25^\circ $ $ \cos 25^\circ \approx 0.9063 $ $ R_x = -1502(0.9063) \approx -1362 \text{N} $ (Negative means the joint reaction on the trunk points to the **left** with magnitude $1362 \text{N}$.) **Vertical forces:** $ \sum F_y = 0 ;\Rightarrow; R_y + 1502 \sin 25^\circ - 487 = 0 $ $ R_y = 487 - 1502 \sin 25^\circ $ $ \sin 25^\circ \approx 0.4226 $ $ R_y = 487 - 1502(0.4226) $ $ R_y = 487 - 635 \approx -148 \text{N} $ (Negative means the joint reaction on the trunk points **downward** by about $148 \text{N}$.) So we have $ R_x \approx -1.36 \times 10^3 \text{N}, \qquad R_y \approx -1.48 \times 10^2 \text{N}. $ 8. **Next step** Find the magnitude of the resultant joint reaction force: $ R = \sqrt{R_x^2 + R_y^2} $ 9. **Resultant hip joint reaction force** $ R = \sqrt{(-1362)^2 + (-148)^2} $ $ R = \sqrt{1.855 \times 10^6 + 2.19 \times 10^4} $ $ R = \sqrt{1.877 \times 10^6} \approx 1.37 \times 10^3 \text{N} $ So the hip joint is experiencing a reaction force of about $ \boxed{R \approx 1.37 \times 10^3 \text{N}} $ directed mostly horizontally toward the hip (about $6^\circ$ below the negative $x$-axis).",Images/SE_10.png,N,
